Player,Action,,Proj Value,Avg Cost,Percent Drafted
Doug Baldwin,The add action is disabled,Add to Watch List,$4 ,$2.80 ,28%
(Sea - WR),,,,,
No new player Notes,,,,,
Jon Baldwin,The add action is disabled,Add to Watch List,$1 ,$1.20 ,9%
(KC - WR),,,,,
No new player Notes,,,,,
Nate Kaeding,The add action is disabled,Add to Watch List,$0 ,$1.10 ,30%
(Mia - K),,,,,
No new player Notes,,,,,
Alex Henery,The add action is disabled,Add to Watch List,$0 ,$1.30 ,36%
(Phi - K),,,,,
No new player Notes,,,,,
Billy Cundiff,The add action is disabled,Add to Watch List,$0 ,$1.00 ,39%
(SF - K),,,,,
NA,,,,,
No new player Notes,,,,,
Nick Novak,The add action is disabled,Add to Watch List,$0 ,$1.00 ,11%
(SD - K),,,,,
No new player Notes,,,,,
Graham Gano,The add action is disabled,Add to Watch List,$0 ,$1.00 ,4%
(Car - K),,,,,
No new player Notes,,,,,
