"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"TREMASON","RB","Tre Mason","STL",72,212,56,0,0,0,0,0,69,316,2,19,155,0,NA,NA,NA
"JACEAMARO","TE","Jace Amaro","NYJ",24,217,55,0,0,0,0,0,0,0,0,31,376,3,NA,NA,NA
"JONATHANGRIMES","RB","Jonathan Grimes","HOU",69,217,55,0,0,0,0,0,112,414,1,13,85,0,NA,NA,NA
"SCOTTCHANDLER","TE","Scott Chandler","BUF",32,217,55,0,0,0,0,0,0,0,0,42,439,2,NA,NA,NA
"COLEBEASLEY","WR","Cole Beasley","DAL",95,220,54,0,0,0,0,0,0,0,0,46,423,2,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",56,220,54,0,0,0,0,0,58,276,2,23,176,0,NA,NA,NA
"OWENDANIELS","TE","Owen Daniels","BAL",30,222,52,0,0,0,0,0,0,0,0,33,341,3,NA,NA,NA
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",57,223,51,0,0,0,0,0,77,348,2,9,74,0,NA,NA,NA
"CODYLATIMER","WR","Cody Latimer","DEN",89,223,51,0,0,0,0,0,0,0,0,30,393,2,NA,NA,NA
"ROBERTTURBIN","RB","Robert Turbin","SEA",62,223,51,0,0,0,0,0,87,343,2,9,58,0,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",58,226,50,0,0,0,0,0,60,250,3,13,79,0,NA,NA,NA
"ANDREWQUARLESS","TE","Andrew Quarless","GB",37,226,50,0,0,0,0,0,0,0,0,38,387,2,NA,NA,NA
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",31,226,50,0,0,0,0,0,0,0,0,32,324,3,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAC",98,229,49,0,0,0,0,0,0,0,0,29,371,2,NA,NA,NA
"JONATHANDWYER","RB","Jonathan Dwyer","ARI",65,230,48,0,0,0,0,0,82,334,2,8,59,0,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",36,230,48,0,0,0,0,0,0,0,0,36,368,2,NA,NA,NA
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",99,230,48,0,0,0,0,0,0,0,0,27,380,2,NA,NA,NA
"BRENTCELEK","TE","Brent Celek","PHI",38,233,47,0,0,0,0,0,0,0,0,30,355,2,NA,NA,NA
"CJFIEDOROWICZ","TE","C.J. Fiedorowicz","HOU",35,233,47,0,0,0,0,0,0,0,0,30,351,2,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",61,233,47,0,0,0,0,0,50,218,2,15,88,1,NA,NA,NA
"BRYCEBROWN","RB","Bryce Brown","BUF",60,236,46,0,0,0,0,0,80,328,2,7,43,0,NA,NA,NA
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",74,236,46,0,0,0,0,0,37,145,0,38,287,1,NA,NA,NA
"JASONAVANT","WR","Jason Avant","CAR",96,236,46,0,0,0,0,0,0,0,0,35,361,2,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",78,239,45,0,0,0,0,0,65,277,0,27,204,0,NA,NA,NA
"ZACHMILLER","TE","Zach Miller","SEA",34,239,45,0,0,0,0,0,0,0,0,34,390,1,NA,NA,NA
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",75,241,44,0,0,0,0,0,57,276,2,6,50,0,NA,NA,NA
"BRANDONBOLDEN","RB","Brandon Bolden","NE",68,241,44,0,0,0,0,0,54,250,2,15,76,0,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",96,241,44,0,0,0,0,0,59,236,1,13,94,1,NA,NA,NA
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",33,244,43,0,0,0,0,0,0,0,0,24,257,3,NA,NA,NA
"DAVANTEADAMS","WR","Davante Adams","GB",94,244,43,0,0,0,0,0,0,0,0,26,334,2,NA,NA,NA
"BILALPOWELL","RB","Bilal Powell","NYJ",83,246,42,0,0,0,0,0,60,232,1,20,131,0,NA,NA,NA
"JOHNCARLSON","TE","John Carlson","ARI",39,246,42,0,0,0,0,0,0,0,0,27,300,2,NA,NA,NA
"BRANDONBOSTICK","TE","Brandon Bostick","GB",29,248,41,0,0,0,0,0,0,0,0,23,295,2,NA,NA,NA
"ACESANDERS","WR","Ace Sanders","JAC",104,249,40,0,0,0,0,0,4,16,0,36,338,1,NA,NA,NA
"ANDRECALDWELL","WR","Andre Caldwell","DEN",90,249,40,0,0,0,0,0,0,0,0,29,342,1,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","OAK",38,249,40,125,74,797,4,4,5,14,0,0,0,0,NA,NA,NA
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",73,249,40,0,0,0,0,0,65,211,2,11,70,0,NA,NA,NA
"JAMESWHITE","RB","James White","NE",76,253,39,0,0,0,0,0,44,198,1,13,101,1,NA,NA,NA
"SHAUNDRAUGHN","RB","Shaun Draughn","CHI",84,253,39,0,0,0,0,0,56,224,0,18,117,1,NA,NA,NA
"BENJARVUSGREENELLIS","RB","BenJarvus Green-Ellis","CIN",77,255,38,0,0,0,0,0,62,250,2,2,14,0,NA,NA,NA
"RYANGRIFFIN","TE","Ryan Griffin","HOU",40,256,37,0,0,0,0,0,0,0,0,23,259,2,NA,NA,NA
"BOBBYRAINEY","RB","Bobby Rainey","TB",71,257,36,0,0,0,0,0,84,317,0,9,58,0,NA,NA,NA
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",70,257,36,0,0,0,0,0,56,222,1,17,107,0,NA,NA,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",36,259,35,87,51,566,5,3,7,17,0,0,0,0,NA,NA,NA
"MIKEGLENNON","QB","Mike Glennon","TB",39,259,35,78,49,546,6,6,10,41,0,0,0,0,NA,NA,NA
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",79,261,34,0,0,0,0,0,24,108,1,19,123,1,NA,NA,NA
"CHRISPOLK","RB","Chris Polk","PHI",80,262,33,0,0,0,0,0,47,208,1,11,70,0,NA,NA,NA
"DEANTHONYTHOMAS","RB","De'Anthony Thomas","KC",92,263,32,0,0,0,0,0,14,43,0,32,244,1,NA,NA,NA
"JOSEPHRANDLE","RB","Joseph Randle","DAL",81,264,31,0,0,0,0,0,48,185,1,13,72,0,NA,NA,NA
"MATTASIATA","RB","Matt Asiata","MIN",82,265,30,0,0,0,0,0,48,190,2,3,16,0,NA,NA,NA
"RONNIEBROWN","RB","Ronnie Brown","HOU",97,266,29,0,0,0,0,0,33,116,0,18,128,1,NA,NA,NA
"PEYTONHILLIS","RB","Peyton Hillis","NYG",99,267,28,0,0,0,0,0,46,160,1,8,61,0,NA,NA,NA
"MIKEJAMES","RB","Mike James","TB",85,268,23,0,0,0,0,0,45,197,1,2,9,0,NA,NA,NA
"THEORIDDICK","RB","Theo Riddick","DET",98,269,22,0,0,0,0,0,26,108,1,10,65,0,NA,NA,NA
"ALFREDBLUE","RB","Alfred Blue","HOU",86,270,21,0,0,0,0,0,32,131,1,4,28,0,NA,NA,NA
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",90,270,21,0,0,0,0,0,26,123,1,6,37,0,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAC",88,272,20,0,0,0,0,0,39,155,1,3,18,0,NA,NA,NA
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",91,273,16,0,0,0,0,0,20,76,1,6,37,0,NA,NA,NA
"STORMJOHNSON","RB","Storm Johnson","JAC",89,274,15,0,0,0,0,0,28,120,0,5,36,0,NA,NA,NA
"MARCUSLATTIMORE","RB","Marcus Lattimore","SF",105,275,14,0,0,0,0,0,14,69,1,3,20,0,NA,NA,NA
"TRAVARISCADET","RB","Travaris Cadet","NO",100,275,14,0,0,0,0,0,19,79,0,12,79,0,NA,NA,NA
"CHARLESSIMS","RB","Charles Sims","TB",106,277,12,0,0,0,0,0,6,25,0,6,44,1,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",40,278,6,26,14,153,2,3,6,6,0,0,0,0,NA,NA,NA
"ANDREBROWN","RB","Andre Brown","HOU",112,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ANTONESMITH","RB","Antone Smith","ATL",103,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BRIANQUICK","WR","Brian Quick","STL",107,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"CHRISOGBONNAYA","RB","Chris Ogbonnaya","CLE",117,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"CHRISOWUSU","WR","Chris Owusu","TB",109,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"CHRISTHOMPSON","RB","Chris Thompson","WAS",120,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DAMIENWILLIAMS","RB","Damien Williams","MIA",93,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DANHERRON","RB","Dan Herron","IND",95,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DANIELTHOMAS","RB","Daniel Thomas","MIA",110,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DARICKROGERS","WR","Da'Rick Rogers","IND",118,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DARYLRICHARDSON","RB","Daryl Richardson","NYJ",118,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DAVIDNELSON","WR","David Nelson","NYJ",106,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DEVIERPOSEY","WR","DeVier Posey","HOU",110,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DEVINHESTER","WR","Devin Hester","ATL",120,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DIONLEWIS","RB","Dion Lewis","CLE",111,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DONTEMONCRIEF","WR","Donte Moncrief","IND",117,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DRIARCHER","RB","Dri Archer","PIT",94,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DUJUANHARRIS","RB","DuJuan Harris","GB",101,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DWAYNEHARRIS","WR","Dwayne Harris","DAL",112,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",102,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JACOBYJONES","WR","Jacoby Jones","BAL",105,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JARIUSWRIGHT","WR","Jarius Wright","MIN",119,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JOEMORGAN","WR","Joe Morgan","NO",97,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",108,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",87,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"KENJONBARNER","RB","Kenjon Barner","PHI",114,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LACHESEASTRUNK","RB","Lache Seastrunk","WAS",115,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LAMICHAELJAMES","RB","LaMichael James","SF",104,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LOUISMURPHY","WR","Louis Murphy","TB",115,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MARIONGRICE","RB","Marion Grice","SD",108,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MARQUISEGOODWIN","WR","Marquise Goodwin","BUF",111,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MICHAELCOX","RB","Michael Cox","NYG",119,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MIKEBROWN","WR","Mike Brown","JAC",114,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MIKELLESHOURE","RB","Mikel Leshoure","DET",113,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"PAULRICHARDSON","WR","Paul Richardson","SEA",116,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"QUINTONPATTON","WR","Quinton Patton","SF",103,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"RYANBROYLES","WR","Ryan Broyles","DET",102,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"RYANWILLIAMS","RB","Ryan Williams","DAL",116,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"SILASREDD","RB","Silas Redd","WAS",107,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",113,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"TREYWATTS","RB","Trey Watts","STL",109,279,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
