"name","nameMerge","pos","team","year","points","overallRank","positionRank","vor"
"TRAVIS BECKUM","TRAVISBECKUM","TE","NYG",2010,23.6,357,49,-78
"OVIE MUGHELLI","OVIEMUGHELLI","RB","ATL",2010,22.2,363,76,-78.4
"SEATTLE SEAHAWKS","SEATTLESEAHAWKS","Def",NA,2010,110.4176,142,26,-78.51296
"LERON MCCLAIN","LERONMCCLAIN","RB","BAL",2010,21.9,365,77,-78.7
"DEREK HAGAN","DEREKHAGAN","WR","NYG",2010,28.3,336,109,-78.8
"PATRICK COBBS","PATRICKCOBBS","RB","MIA",2010,21.1,368,78,-79.5
"JOHN GILMORE","JOHNGILMORE","TE","TAM",2010,22,364,50,-79.6
"JOE MCKNIGHT","JOEMCKNIGHT","RB","NYJ",2010,20.9,370,79,-79.7
"DONALD JONES","DONALDJONES","WR","BUF",2010,27.4,339,110,-79.7
"CHRIS CHAMBERS","CHRISCHAMBERS","WR","KAN",2010,27.3,340,111,-79.8
"ED DICKSON","EDDICKSON","TE","BAL",2010,21.2,367,51,-80.4
"OWEN SCHMITT","OWENSCHMITT","RB","PHI",2010,19.6,374,80,-81
"LEONARD POPE","LEONARDPOPE","TE","KAN",2010,19.6,374,52,-82
"SHAUN SUISHAM","SHAUNSUISHAM","K","PIT",2010,68,237,30,-82
"LOUSAKA POLITE","LOUSAKAPOLITE","RB","MIA",2010,18.3,377,81,-82.3
"BERNARD BERRIAN","BERNARDBERRIAN","WR","MIN",2010,24.4,352,112,-82.7
"CAROLINA PANTHERS","CAROLINAPANTHERS","Def",NA,2010,105.98016,151,27,-82.9504
"SAMMIE STROUGHTER","SAMMIESTROUGHTER","WR","TAM",2010,24.1,354,113,-83
"DOMINIC RHODES","DOMINICRHODES","RB","IND",2010,17.6,380,82,-83
"LANCE BALL","LANCEBALL","RB","DEN",2010,17.4,381,83,-83.2
"ALEX SMITH","ALEXSMITH","QB","SFO",2010,136.8,91,27,-83.36
"KELLEY WASHINGTON","KELLEYWASHINGTON","WR","SDG",2010,23.3,358,114,-83.8
"MIKE BELL","MIKEBELL","RB","2TM",2010,16.6,386,84,-84
"GOLDEN TATE","GOLDENTATE","WR","SEA",2010,23.1,359,115,-84
"CHRIS BAKER","CHRISBAKER","TE","SEA",2010,17.6,378,53,-84
"ALGE CRUMPLER","ALGECRUMPLER","TE","NWE",2010,17.2,384,54,-84.4
"FRED TAYLOR","FREDTAYLOR","RB","NWE",2010,16.1,387,85,-84.5
"DAMIAN WILLIAMS","DAMIANWILLIAMS","WR","TEN",2010,22.4,362,116,-84.7
"RUVELL MARTIN","RUVELLMARTIN","WR","SEA",2010,21.8,366,117,-85.3
"JIM KLEINSASSER","JIMKLEINSASSER","RB","MIN",2010,14.8,392,86,-85.8
"BRYANT JOHNSON","BRYANTJOHNSON","WR","DET",2010,21,369,118,-86.1
"TYRELL SUTTON","TYRELLSUTTON","RB","CAR",2010,14.1,395,87,-86.5
"DANNY WARE","DANNYWARE","RB","NYG",2010,14,397,88,-86.6
"MARLON MOORE","MARLONMOORE","WR","MIA",2010,20.4,371,119,-86.7
"CHAD HALL","CHADHALL","WR","PHI",2010,20.4,372,120,-86.7
"DANIEL GRAHAM","DANIELGRAHAM","TE","DEN",2010,14.8,392,55,-86.8
"JASON HANSON","JASONHANSON","K","DET",2010,63,247,31,-87
"MIKE NUGENT","MIKENUGENT","K","CIN",2010,63,247,31,-87
"SAMMY MORRIS","SAMMYMORRIS","RB","NWE",2010,13.3,400,89,-87.3
"GREG LEWIS","GREGLEWIS","WR","MIN",2010,19.7,373,121,-87.4
"JEROME FELTON","JEROMEFELTON","RB","DET",2010,13,402,90,-87.6
"MATT SPAETH","MATTSPAETH","TE","PIT",2010,14,397,56,-87.6
"SPENCER LARSEN","SPENCERLARSEN","RB","DEN",2010,12.9,403,91,-87.7
"DIMITRI NANCE","DIMITRINANCE","RB","GNB",2010,12.5,406,92,-88.1
"LAURENCE MARONEY","LAURENCEMARONEY","RB","DEN",2010,12.4,407,93,-88.2
"CLAY HARBOR","CLAYHARBOR","TE","PHI",2010,13.2,401,57,-88.4
"JACKIE BATTLE","JACKIEBATTLE","RB","KAN",2010,11.9,412,94,-88.7
"JAMES STARKS","JAMESSTARKS","RB","GNB",2010,11.6,416,95,-89
"DAVE RAYNER","DAVERAYNER","K","DET",2010,61,253,33,-89
"JOHN CONNER","JOHNCONNER","RB","NYJ",2010,11.3,419,96,-89.3
"BEN PATRICK","BENPATRICK","TE","ARI",2010,12.3,409,58,-89.3
"CHRIS GRONKOWSKI","CHRISGRONKOWSKI","RB","DAL",2010,11.2,420,97,-89.4
"RILEY COOPER","RILEYCOOPER","WR","PHI",2010,17.6,378,122,-89.5
"BUFFALO BILLS","BUFFALOBILLS","Def",NA,2010,99.35248,169,28,-89.57808
"VERRAN TUCKER","VERRANTUCKER","WR","KAN",2010,17.4,382,123,-89.7
"JOEY GALLOWAY","JOEYGALLOWAY","WR","WAS",2010,17.3,383,124,-89.8
"KEVIN FAULK","KEVINFAULK","RB","NWE",2010,10.7,424,98,-89.9
"CAMERON MORRAH","CAMERONMORRAH","TE","SEA",2010,11.7,413,59,-89.9
"ROBERT ROYAL","ROBERTROYAL","TE","CLE",2010,11.6,416,60,-90
"JAMES DAVIS","JAMESDAVIS","RB","2TM",2010,10.5,426,99,-90.1
"STEVE SLATON","STEVESLATON","RB","HOU",2010,10.4,427,100,-90.2
"AARON BROWN","AARONBROWN","RB","DET",2010,10.3,428,101,-90.3
"HEATH EVANS","HEATHEVANS","RB","NOR",2010,10.3,428,101,-90.3
"JONATHAN STUPAR","JONATHANSTUPAR","TE","BUF",2010,11.1,421,61,-90.5
"AHMARD HALL","AHMARDHALL","RB","TEN",2010,10.1,434,103,-90.5
"NAUFAHU TAHI","NAUFAHUTAHI","RB","MIN",2010,10,435,104,-90.6
"COREY MCINTYRE","COREYMCINTYRE","RB","BUF",2010,9.7,440,105,-90.9
"BRANDON MANUMALEUNA","BRANDONMANUMALEUNA","TE","CHI",2010,10.3,428,62,-91.3
"DAVID MARTIN","DAVIDMARTIN","TE","BUF",2010,10.3,428,62,-91.3
"TERRANCE COPPER","TERRANCECOPPER","WR","KAN",2010,15.7,388,125,-91.4
"JUSTIN PEELLE","JUSTINPEELLE","WR","ATL",2010,15.6,389,126,-91.5
"VONTA LEACH","VONTALEACH","RB","HOU",2010,9.1,442,106,-91.5
"DEZMON BRISCOE","DEZMONBRISCOE","WR","TAM",2010,15.3,390,127,-91.8
"JAMES CASEY","JAMESCASEY","TE","HOU",2010,9.8,438,64,-91.8
"WILL HELLER","WILLHELLER","TE","DET",2010,9.7,440,65,-91.9
"DEVIN AROMASHODU","DEVINAROMASHODU","WR","CHI",2010,14.9,391,128,-92.2
"KEITH TOSTON","KEITHTOSTON","RB","STL",2010,8.3,446,107,-92.3
"DARREL YOUNG","DARRELYOUNG","RB","WAS",2010,8.2,447,108,-92.4
"MICHAEL PALMER","MICHAELPALMER","TE","ATL",2010,8.9,444,66,-92.7
"ELDRA BUCKLEY","ELDRABUCKLEY","RB","PHI",2010,7.7,451,109,-92.9
"NAAMAN ROOSEVELT","NAAMANROOSEVELT","WR","BUF",2010,14.2,394,129,-92.9
"MAURICE STOVALL","MAURICESTOVALL","WR","TAM",2010,14.1,396,130,-93
"JASON WRIGHT","JASONWRIGHT","RB","ARI",2010,7,458,110,-93.6
"BRANDON MYERS","BRANDONMYERS","TE","OAK",2010,8,448,67,-93.6
"KELLEN DAVIS","KELLENDAVIS","TE","CHI",2010,7.9,449,68,-93.7
"JOSH VAUGHAN","JOSHVAUGHAN","RB","CAR",2010,6.7,462,111,-93.9
"CINCINNATI BENGALS","CINCINNATIBENGALS","Def",NA,2010,94.90832,183,29,-94.02224
"KORY SPERRY","KORYSPERRY","TE","SDG",2010,7.3,452,69,-94.3
"KRIS WILSON","KRISWILSON","TE","SDG",2010,7.3,452,69,-94.3
"DONTE STALLWORTH","DONTESTALLWORTH","WR","BAL",2010,12.7,404,131,-94.4
"BEAR PASCOE","BEARPASCOE","TE","NYG",2010,7.2,454,71,-94.4
"GIJON ROBINSON","GIJONROBINSON","TE","IND",2010,7.2,454,71,-94.4
"MICHAEL ROBINSON","MICHAELROBINSON","WR","SEA",2010,12.52,405,132,-94.58
"LOGAN PAULSEN","LOGANPAULSEN","TE","WAS",2010,7,458,73,-94.6
"DAVID CLOWNEY","DAVIDCLOWNEY","WR","2TM",2010,12.4,407,133,-94.7
"STEPHEN GOSTKOWSKI","STEPHENGOSTKOWSKI","K","NWE",2010,55,266,34,-95
"TONY FIAMMETTA","TONYFIAMMETTA","RB","CAR",2010,5.6,473,112,-95
"KASSIM OSGOOD","KASSIMOSGOOD","WR","JAX",2010,12,410,134,-95.1
"SAM HURD","SAMHURD","WR","DAL",2010,12,410,134,-95.1
"DAN GRONKOWSKI","DANGRONKOWSKI","TE","DEN",2010,6.5,464,74,-95.1
"DAVID ANDERSON","DAVIDANDERSON","WR","HOU",2010,11.7,413,136,-95.4
"MAX KOMAR","MAXKOMAR","WR","ARI",2010,11.7,413,136,-95.4
"GREG JONES","GREGJONES","RB","JAX",2010,5.1,475,113,-95.5
"TOM CRABTREE","TOMCRABTREE","TE","GNB",2010,6.1,469,75,-95.5
"TIQUAN UNDERWOOD","TIQUANUNDERWOOD","WR","JAX",2010,11.1,421,138,-96
"TIM CASTILLE","TIMCASTILLE","RB","KAN",2010,4.6,480,114,-96
"RYAN GRANT","RYANGRANT","RB","GNB",2010,4.5,481,115,-96.1
"TONY RICHARDSON","TONYRICHARDSON","RB","NYJ",2010,4.4,482,116,-96.2
"ROYDELL WILLIAMS","ROYDELLWILLIAMS","WR","WAS",2010,10.9,423,139,-96.2
"GARTRELL JOHNSON","GARTRELLJOHNSON","RB","ATL",2010,4.2,485,117,-96.4
"ALBERT YOUNG","ALBERTYOUNG","RB","MIN",2010,4,488,118,-96.6
"BRANDON JAMES","BRANDONJAMES","RB","IND",2010,4,488,118,-96.6
"JOHNNIE LEE HIGGINS","JOHNNIELEEHIGGINS","WR","OAK",2010,10.3,428,140,-96.8
"JIM DRAY","JIMDRAY","TE","ARI",2010,4.7,477,76,-96.9
"STEPHEN WILLIAMS","STEPHENWILLIAMS","WR","ARI",2010,10.1,433,141,-97
"JOE NEDNEY","JOENEDNEY","K","SFO",2010,53,274,35,-97
"DAVID JOHNSON","DAVIDJOHNSON","TE","PIT",2010,4.6,479,77,-97
"CHAZ SCHILENS","CHAZSCHILENS","WR","OAK",2010,10,435,142,-97.1
"JULIAN EDELMAN","JULIANEDELMAN","WR","NWE",2010,10,435,142,-97.1
"MICKEY SHULER","MICKEYSHULER","TE","MIA",2010,4.4,482,78,-97.2
"DOMINIQUE ZEIGLER","DOMINIQUEZEIGLER","WR","SFO",2010,9.8,438,144,-97.3
"JERRAMY STEVENS","JERRAMYSTEVENS","TE","TAM",2010,4.3,484,79,-97.3
"LORENZO BOOKER","LORENZOBOOKER","RB","MIN",2010,3.2,496,120,-97.4
"ROCK CARTWRIGHT","ROCKCARTWRIGHT","RB","OAK",2010,3.2,496,120,-97.4
"REGGIE KELLY","REGGIEKELLY","TE","CIN",2010,4.2,485,80,-97.4
"STEPHEN SPACH","STEPHENSPACH","TE","ARI",2010,4,488,81,-97.6
"BRODY ELDRIDGE","BRODYELDRIDGE","TE","IND",2010,3.9,493,82,-97.7
"JONATHAN DWYER","JONATHANDWYER","RB","PIT",2010,2.8,502,122,-97.8
"RYAN PURVIS","RYANPURVIS","TE","TAM",2010,3.8,494,83,-97.8
"MIKE COX","MIKECOX","RB","KAN",2010,2.7,503,123,-97.9
"QUINTON GANTHER","QUINTONGANTHER","RB","2TM",2010,2.7,503,123,-97.9
"MIKE KARNEY","MIKEKARNEY","RB","STL",2010,2.6,506,125,-98
"LAWRENCE VICKERS","LAWRENCEVICKERS","RB","CLE",2010,2.6,507,126,-98
"QUINN JOHNSON","QUINNJOHNSON","RB","GNB",2010,2.6,507,126,-98
"JEFF DUGAN","JEFFDUGAN","TE","MIN",2010,3.2,496,84,-98.4
"JAKE OCONNELL","JAKEOCONNELL","TE","KAN",2010,3.1,499,85,-98.5
"MICHAEL BENNETT","MICHAELBENNETT","RB","OAK",2010,2,514,128,-98.6
"MORAN NORRIS","MORANNORRIS","RB","SFO",2010,2,514,128,-98.6
"REAGAN MAUIA","REAGANMAUIA","RB","ARI",2010,2,514,128,-98.6
"CHASE COFFMAN","CHASECOFFMAN","TE","CIN",2010,3,500,86,-98.6
"GARRETT MILLS","GARRETTMILLS","RB","2TM",2010,1.9,517,131,-98.7
"KAREEM HUGGINS","KAREEMHUGGINS","RB","TAM",2010,1.8,521,132,-98.8
"JERIOUS NORWOOD","JERIOUSNORWOOD","RB","ATL",2010,1.7,523,133,-98.9
"THOMAS CLAYTON","THOMASCLAYTON","RB","2TM",2010,1.7,523,133,-98.9
"NATE BYHAM","NATEBYHAM","TE","SFO",2010,2.7,503,87,-98.9
"BROCK BOLEN","BROCKBOLEN","RB","JAX",2010,1.5,527,135,-99.1
"SHAWN NELSON","SHAWNNELSON","TE","BUF",2010,2.5,510,88,-99.1
"ADRIAN ARRINGTON","ADRIANARRINGTON","WR","NOR",2010,7.9,449,145,-99.2
"CEDRIC PEERMAN","CEDRICPEERMAN","RB","CIN",2010,1.2,531,136,-99.4
"KREGG LUMPKIN","KREGGLUMPKIN","RB","TAM",2010,1.2,531,136,-99.4
"CURTIS BRINKLEY","CURTISBRINKLEY","RB","SDG",2010,1.1,536,138,-99.5
"KOREY HALL","KOREYHALL","RB","GNB",2010,0.9,538,139,-99.7
"GARRETT WOLFE","GARRETTWOLFE","RB","CHI",2010,0.8,541,140,-99.8
"MADISON HEDGECOCK","MADISONHEDGECOCK","RB","NYG",2010,0.8,541,140,-99.8
"BRETT SWAIN","BRETTSWAIN","WR","GNB",2010,7.2,454,146,-99.9
"CHRIS PRESSLEY","CHRISPRESSLEY","RB","2TM",2010,0.6,554,142,-100
"FENDI ONOBUN","FENDIONOBUN","TE","STL",2010,1.5,527,89,-100.1
"LEX HILLIARD","LEXHILLIARD","RB","MIA",2010,0.3,558,143,-100.3
"JEHUU CAULCRICK","JEHUUCAULCRICK","RB","BUF",2010,0.2,561,144,-100.4
"LARRY JOHNSON","LARRYJOHNSON","RB","WAS",2010,0.2,561,144,-100.4
"ANTHONY GONZALEZ","ANTHONYGONZALEZ","WR","IND",2010,6.7,462,147,-100.4
"DESMOND CLARK","DESMONDCLARK","TE","CHI",2010,1.2,531,90,-100.4
"TORY HUMPHREY","TORYHUMPHREY","TE","NOR",2010,1.2,531,90,-100.4
"ALFONSO SMITH","ALFONSOSMITH","RB","ARI",2010,0,565,146,-100.6
"ANDRE ANDERSON","ANDREANDERSON","RB","BUF",2010,0,565,146,-100.6
"BILLY LATSKO","BILLYLATSKO","RB","SDG",2010,0,565,146,-100.6
"CHAD SIMPSON","CHADSIMPSON","RB","WAS",2010,0,565,146,-100.6
"CHAUNCEY WASHINGTON","CHAUNCEYWASHINGTON","RB","STL",2010,0,565,146,-100.6
"CHRIS HENRY","CHRISHENRY","RB","SEA",2010,0,565,146,-100.6
"CLIFTON SMITH","CLIFTONSMITH","RB","2TM",2010,0,565,146,-100.6
"DEON ANDERSON","DEONANDERSON","RB","DAL",2010,0,565,146,-100.6
"DESHAWN WYNN","DESHAWNWYNN","RB","2TM",2010,0,565,146,-100.6
"JALEN PARMELE","JALENPARMELE","RB","BAL",2010,0,565,146,-100.6
"JEROME JOHNSON","JEROMEJOHNSON","RB","ARI",2010,0,565,146,-100.6
"JOHN PAUL FOSCHI","JOHNPAULFOSCHI","RB","CIN",2010,0,565,146,-100.6
"JOIQUE BELL","JOIQUEBELL","RB","2TM",2010,0,565,146,-100.6
"LEONARD WEAVER","LEONARDWEAVER","RB","PHI",2010,0,565,146,-100.6
"LONYAE MILLER","LONYAEMILLER","RB","DAL",2010,0,565,146,-100.6
"MARQUIS JOHNSON","MARQUISJOHNSON","RB","STL",2010,0,565,146,-100.6
"MONTELL OWENS","MONTELLOWENS","RB","JAX",2010,0,565,146,-100.6
"RASHAWN JACKSON","RASHAWNJACKSON","RB","CAR",2010,0,565,146,-100.6
"ANDRE BROWN","ANDREBROWN","RB","4TM",2010,-0.1,623,164,-100.7
"RAMSES BARDEN","RAMSESBARDEN","WR","NYG",2010,6.4,465,148,-100.7
"RICHARD QUINN","RICHARDQUINN","TE","DEN",2010,0.9,538,92,-100.7
"DEVIN MOORE","DEVINMOORE","RB","IND",2010,-0.2,625,165,-100.8
"MARDY GILYARD","MARDYGILYARD","WR","STL",2010,6.3,466,149,-100.8
"SCOTT CHANDLER","SCOTTCHANDLER","TE","2TM",2010,0.8,541,93,-100.8
"ANTONE SMITH","ANTONESMITH","RB","ATL",2010,-0.3,626,166,-100.9
"ROBERTO WALLACE","ROBERTOWALLACE","WR","MIA",2010,6.2,468,150,-100.9
"BEN HARTSOCK","BENHARTSOCK","TE","NYJ",2010,0.7,549,94,-100.9
"ERIC WEEMS","ERICWEEMS","WR","ATL",2010,6.1,469,151,-101
"LAVELLE HAWKINS","LAVELLEHAWKINS","WR","TEN",2010,6.1,469,151,-101
"ALEX SMITH","ALEXSMITH","TE","CLE",2010,0.6,554,95,-101
"JEFF CUMBERLAND","JEFFCUMBERLAND","TE","NYJ",2010,0.3,558,96,-101.3
"DENNIS PITTA","DENNISPITTA","TE","BAL",2010,0.1,564,97,-101.5
"ANTHONY MCCOY","ANTHONYMCCOY","TE","SEA",2010,0,565,98,-101.6
"BRIAN JENNINGS","BRIANJENNINGS","TE","SFO",2010,0,565,98,-101.6
"CLARK HARRIS","CLARKHARRIS","TE","CIN",2010,0,565,98,-101.6
"COLIN CLOHERTY","COLINCLOHERTY","TE","SFO",2010,0,565,98,-101.6
"DANIEL COATS","DANIELCOATS","TE","2TM",2010,0,565,98,-101.6
"DARCY JOHNSON","DARCYJOHNSON","TE","STL",2010,0,565,98,-101.6
"DEREK SCHOUMAN","DEREKSCHOUMAN","TE","STL",2010,0,565,98,-101.6
"GARRETT GRAHAM","GARRETTGRAHAM","TE","HOU",2010,0,565,98,-101.6
"GARY BARNIDGE","GARYBARNIDGE","TE","CAR",2010,0,565,98,-101.6
"JAKE BALLARD","JAKEBALLARD","TE","NYG",2010,0,565,98,-101.6
"JERON MASTRUD","JERONMASTRUD","TE","MIA",2010,0,565,98,-101.6
"JOE ZELENKA","JOEZELENKA","TE","ATL",2010,0,565,98,-101.6
"JOHN NALBONE","JOHNNALBONE","TE","MIA",2010,0,565,98,-101.6
"JUSTIN SNOW","JUSTINSNOW","TE","IND",2010,0,565,98,-101.6
"MARTIN RUCKER","MARTINRUCKER","TE","DAL",2010,0,565,98,-101.6
"MATTHEW MULLIGAN","MATTHEWMULLIGAN","TE","NYJ",2010,0,565,98,-101.6
"MIKE LEACH","MIKELEACH","TE","ARI",2010,0,565,98,-101.6
"PRESTON PARKER","PRESTONPARKER","WR","TAM",2010,4.9,476,153,-102.2
"TERRENCE AUSTIN","TERRENCEAUSTIN","WR","WAS",2010,4.7,477,154,-102.4
"TAYLOR PRICE","TAYLORPRICE","WR","NWE",2010,4.1,487,155,-103
"DWAYNE JARRETT","DWAYNEJARRETT","WR","CAR",2010,4,488,156,-103.1
"KEVIN OGLETREE","KEVINOGLETREE","WR","DAL",2010,3.4,495,157,-103.7
"DERRICK WILLIAMS","DERRICKWILLIAMS","WR","DET",2010,3,500,158,-104.1
"PATRICK TURNER","PATRICKTURNER","WR","NYJ",2010,2.6,507,159,-104.5
"RICHARD GOODMAN","RICHARDGOODMAN","WR","SDG",2010,2.5,510,160,-104.6
"MICHAEL CLAYTON","MICHAELCLAYTON","WR","NYG",2010,1.9,517,161,-105.2
"HANK BASKETT","HANKBASKETT","WR","2TM",2010,1.8,522,162,-105.3
"MATT WILLIS","MATTWILLIS","WR","DEN",2010,1.7,523,163,-105.4
"DAVID REED","DAVIDREED","WR","BAL",2010,1.5,527,164,-105.6
"YAMON FIGURS","YAMONFIGURS","WR","2TM",2010,1.3,530,165,-105.8
"KEVIN CURTIS","KEVINCURTIS","WR","MIA",2010,1.2,531,166,-105.9
"CARLTON MITCHELL","CARLTONMITCHELL","WR","CLE",2010,0.9,538,167,-106.2
"KYLE WILLIAMS","KYLEWILLIAMS","WR","SFO",2010,0.8,541,168,-106.3
"PAUL HUBBARD","PAULHUBBARD","WR","BUF",2010,0.8,541,168,-106.3
"ARMANTI EDWARDS","ARMANTIEDWARDS","WR","CAR",2010,0.7,549,170,-106.4
"SAM AIKEN","SAMAIKEN","WR","CLE",2010,0.7,549,170,-106.4
"MANUEL JOHNSON","MANUELJOHNSON","WR","DAL",2010,0.6,554,172,-106.5
"DUKE CALHOUN","DUKECALHOUN","WR","NYG",2010,0.4,557,173,-106.7
"ERNEST WILFORD","ERNESTWILFORD","WR","JAX",2010,0.3,558,174,-106.8
"GARY BANKS","GARYBANKS","WR","SDG",2010,0.2,561,175,-106.9
"ARNAZ BATTLE","ARNAZBATTLE","WR","PIT",2010,0,565,176,-107.1
"BRIAN CLARK","BRIANCLARK","WR","DET",2010,0,565,176,-107.1
"BRITT DAVIS","BRITTDAVIS","WR","DEN",2010,0,565,176,-107.1
"CHARLY MARTIN","CHARLYMARTIN","WR","CAR",2010,0,565,176,-107.1
"CHRIS BROOKS","CHRISBROOKS","WR","IND",2010,0,565,176,-107.1
"COURTNEY ROBY","COURTNEYROBY","WR","NOR",2010,0,565,176,-107.1
"DEMETRIUS WILLIAMS","DEMETRIUSWILLIAMS","WR","CLE",2010,0,565,176,-107.1
"DERRICK TOWNSEL","DERRICKTOWNSEL","WR","HOU",2010,0,565,176,-107.1
"DEVIN THOMAS","DEVINTHOMAS","WR","3TM",2010,0,565,176,-107.1
"DOMINIQUE CURRY","DOMINIQUECURRY","WR","STL",2010,0,565,176,-107.1
"ELBERT MACK","ELBERTMACK","WR","TAM",2010,0,565,176,-107.1
"GEORGE WILSON","GEORGEWILSON","WR","BUF",2010,0,565,176,-107.1
"JEREMY HORNE","JEREMYHORNE","WR","KAN",2010,0,565,176,-107.1
"JESSE HOLLEY","JESSEHOLLEY","WR","DAL",2010,0,565,176,-107.1
"JOHN MATTHEWS","JOHNMATTHEWS","WR","JAX",2010,0,565,176,-107.1
"KENNY MOORE","KENNYMOORE","WR","IND",2010,0,565,176,-107.1
"MARCUS SMITH","MARCUSSMITH","WR","BAL",2010,0,565,176,-107.1
"MATT SLATER","MATTSLATER","WR","NWE",2010,0,565,176,-107.1
"ONREA JONES","ONREAJONES","WR","ARI",2010,0,565,176,-107.1
"TAJ SMITH","TAJSMITH","WR","IND",2010,0,565,176,-107.1
"VICTOR CRUZ","VICTORCRUZ","WR","NYG",2010,0,565,176,-107.1
"KERRY COLLINS","KERRYCOLLINS","QB","TEN",2010,113.02,137,28,-107.14
"JACKSONVILLE JAGUARS","JACKSONVILLEJAGUARS","Def",NA,2010,79.09264,209,30,-109.83792
"HOUSTON TEXANS","HOUSTONTEXANS","Def",NA,2010,77.66096,213,31,-111.2696
"BRETT FAVRE","BRETTFAVRE","QB","MIN",2010,107.16,148,29,-113
"STEVEN HAUSCHKA","STEVENHAUSCHKA","K","DEN",2010,29,332,36,-121
"TONY ROMO","TONYROMO","QB","DAL",2010,99.1,170,30,-121.06
"DENVER BRONCOS","DENVERBRONCOS","Def",NA,2010,67.68832,238,32,-121.24224
"TIM TEBOW","TIMTEBOW","QB","DEN",2010,98.86,171,31,-121.3
"CLINT STITSER","CLINTSTITSER","K","CIN",2010,27,341,37,-123
"VINCE YOUNG","VINCEYOUNG","QB","TEN",2010,96.7,178,32,-123.46
"DEREK ANDERSON","DEREKANDERSON","QB","ARI",2010,93.1,185,33,-127.06
"COLT MCCOY","COLTMCCOY","QB","CLE",2010,89.94,189,34,-130.22
"KRIS BROWN","KRISBROWN","K","2TM",2010,19,376,38,-131
"JOHN CARNEY","JOHNCARNEY","K","NOR",2010,17,385,39,-133
"AARON PETTREY","AARONPETTREY","K","CIN",2010,9,443,40,-141
"SHANE ANDRUS","SHANEANDRUS","K","SFO",2010,7,458,41,-143
"TROY SMITH","TROYSMITH","QB","SFO",2010,77.14,215,35,-143.02
"WES WELKER","WESWELKER","K","NWE",2010,1,537,42,-149
"KEVIN KOLB","KEVINKOLB","QB","PHI",2010,68.38,235,36,-151.78
"JIMMY CLAUSEN","JIMMYCLAUSEN","QB","CAR",2010,62.02,251,37,-158.14
"DREW STANTON","DREWSTANTON","QB","DET",2010,58.5,260,38,-161.66
"REX GROSSMAN","REXGROSSMAN","QB","WAS",2010,55.96,263,39,-164.2
"BRUCE GRADKOWSKI","BRUCEGRADKOWSKI","QB","OAK",2010,52.46,276,40,-167.7
"MATTHEW STAFFORD","MATTHEWSTAFFORD","QB","DET",2010,50.5,278,41,-169.66
"BRAD SMITH","BRADSMITH","QB","NYJ",2010,44.54,286,42,-175.62
"SENECA WALLACE","SENECAWALLACE","QB","CLE",2010,41.56,295,43,-178.6
"MATT MOORE","MATTMOORE","QB","CAR",2010,36.78,309,44,-183.38
"JOHN SKELTON","JOHNSKELTON","QB","ARI",2010,35.38,314,45,-184.78
"CHARLIE WHITEHURST","CHARLIEWHITEHURST","QB","SEA",2010,32.58,326,46,-187.58
"TYLER THIGPEN","TYLERTHIGPEN","QB","MIA",2010,28.7,333,47,-191.46
"JAKE DELHOMME","JAKEDELHOMME","QB","CLE",2010,28.68,334,48,-191.48
"MATT FLYNN","MATTFLYNN","QB","GNB",2010,27.92,338,49,-192.24
"STEPHEN MCGEE","STEPHENMCGEE","QB","DAL",2010,24.92,350,50,-195.24
"TRENT EDWARDS","TRENTEDWARDS","QB","2TM",2010,24.64,351,51,-195.52
"TARVARIS JACKSON","TARVARISJACKSON","QB","MIN",2010,23.94,356,52,-196.22
"CHARLIE BATCH","CHARLIEBATCH","QB","PIT",2010,23.08,360,53,-197.08
"TODD BOUMAN","TODDBOUMAN","QB","JAX",2010,13.68,399,54,-206.48
"DENNIS DIXON","DENNISDIXON","QB","PIT",2010,11.36,418,55,-208.8
"MARK BRUNELL","MARKBRUNELL","QB","NYJ",2010,10.68,425,56,-209.48
"JOSH JOHNSON","JOSHJOHNSON","QB","TAM",2010,8.34,445,57,-211.82
"KELLEN CLEMENS","KELLENCLEMENS","QB","NYJ",2010,7.14,457,58,-213.02
"BRIAN ST PIERRE","BRIANSTPIERRE","QB","CAR",2010,6.92,461,59,-213.24
"MAX HALL","MAXHALL","QB","ARI",2010,6.3,466,60,-213.86
"BRIAN HOYER","BRIANHOYER","QB","NWE",2010,6.08,472,61,-214.08
"LUKE MCCOWN","LUKEMCCOWN","QB","JAX",2010,5.2,474,62,-214.96
"RICHARD BARTEL","RICHARDBARTEL","QB","ARI",2010,4,488,63,-216.16
"CHASE DANIEL","CHASEDANIEL","QB","NOR",2010,2.24,512,64,-217.92
"CALEB HANIE","CALEBHANIE","QB","CHI",2010,2.1,513,65,-218.06
"TYLER PALKO","TYLERPALKO","QB","KAN",2010,1.9,517,66,-218.26
"TONY PIKE","TONYPIKE","QB","CAR",2010,1.88,520,67,-218.28
"BYRON LEFTWICH","BYRONLEFTWICH","QB","PIT",2010,1.68,526,68,-218.48
"KYLE BOLLER","KYLEBOLLER","QB","OAK",2010,0.8,541,69,-219.36
"CHAD PENNINGTON","CHADPENNINGTON","QB","MIA",2010,0.76,547,70,-219.4
"JORDAN PALMER","JORDANPALMER","QB","CIN",2010,0.72,548,71,-219.44
"CHRIS REDMAN","CHRISREDMAN","QB","ATL",2010,0.7,549,72,-219.46
"DAVID CARR","DAVIDCARR","QB","SFO",2010,0.68,553,73,-219.48
"DAN ORLOVSKY","DANORLOVSKY","QB","HOU",2010,0,565,74,-220.16
