"name","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"Jerious Norwood","RB","FA",120,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Early Doucet","WR","ARI",99,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Jerricho Cotchery","WR","PIT",100,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Louis Murphy","WR","CAR",101,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Jason Avant","WR","PHI",102,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Andre Caldwell","WR","DEN",103,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Devin Hester","WR","CHI",104,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Rod Streater","WR","OAK",105,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Harry Douglas","WR","ATL",107,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Adrian Arrington","WR","FA",108,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Brad Smith","WR","BUF",109,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Michael Jenkins","WR","MIN",110,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Mohamed Massaquoi","WR","CLE",111,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Josh Cribbs","WR","CLE",112,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Jeremy Kerley","WR","NYJ",113,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Preston Parker","WR","NO",114,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Riley Cooper","WR","PHI",115,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Tandon Doss","WR","BAL",116,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Julian Edelman","WR","NE",117,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Arrelious Benn","WR","TB",118,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"Dane Sanzenbacher","WR","CIN",119,261,0,0,0,0,0,0,0,0,0,NA,NA,0
"T.Y. Hilton","WR","IND",120,261,0,0,0,0,0,0,0,0,0,NA,NA,0
